"Order ID","Product Name","Category","Customer Name","Region","State","City","Sales Amount","Profit","Quantity","Order Date","Ship Date","Payment Mode"
"ORD-2000-01022","Projector","Office Supplies","Customer 22","South","Gujarat","Ahmedabad","16650","1409","5","2000-06-21","2000-06-25","Cash"
"ORD-2000-01023","Keyboard","Technology","Customer 23","West","Maharashtra","Mumbai","7850","1348","3","2000-02-18","2000-02-19","UPI"
"ORD-2000-01024","Monitor","Electronics","Customer 24","South","Karnataka","Bengaluru","5654","867","2","2000-06-22","2000-06-23","Net Banking"
"ORD-2000-01025","Desk","Office Supplies","Customer 25","South","Gujarat","Ahmedabad","30719","3115","2","2000-04-25","2000-04-27","Cash"
"ORD-2000-01026","Printer","Furniture","Customer 26","South","Maharashtra","Mumbai","4488","100","3","2000-05-21","2000-05-22","Cash"
"ORD-2000-01027","Keyboard","Electronics","Customer 27","West","Delhi","New Delhi","4975","416","4","2000-02-24","2000-02-28","Debit Card"
"ORD-2000-01028","Mouse","Furniture","Customer 28","South","Delhi","New Delhi","50377","13040","3","2000-04-19","2000-04-24","UPI"
"ORD-2000-01029","Laptop","Electronics","Customer 29","West","West Bengal","Kolkata","5549","783","4","2000-05-28","2000-06-02","Credit Card"
"ORD-2000-01030","Printer","Electronics","Customer 30","South","Maharashtra","Mumbai","6417","499","1","2000-01-15","2000-01-20","Net Banking"
"ORD-2000-01031","Projector","Electronics","Customer 31","West","Kerala","Kochi","46381","832","6","2000-03-05","2000-03-10","Net Banking"
"ORD-2000-01032","Monitor","Furniture","Customer 32","East","Maharashtra","Mumbai","20693","2094","1","2000-05-14","2000-05-17","Debit Card"
"ORD-2000-01033","Mouse","Electronics","Customer 33","North","West Bengal","Kolkata","6331","100","2","2000-04-28","2000-05-01","Net Banking"
"ORD-2000-01034","Mobile Phone","Technology","Customer 34","East","Karnataka","Bengaluru","27470","591","5","2000-03-09","2000-03-11","Net Banking"
"ORD-2000-01035","Tablet","Electronics","Customer 35","East","Kerala","Kochi","51316","10670","1","2000-06-28","2000-07-01","Credit Card"
"ORD-2000-01036","Desk","Technology","Customer 36","South","Kerala","Kochi","8832","700","3","2000-03-09","2000-03-10","Credit Card"
"ORD-2000-01037","Desk","Electronics","Customer 37","North","Kerala","Kochi","42511","8434","5","2000-06-25","2000-06-28","Debit Card"
"ORD-2000-01038","Office Chair","Technology","Customer 38","South","Kerala","Kochi","24952","6846","3","2000-01-12","2000-01-13","Net Banking"
"ORD-2000-01039","Printer","Electronics","Customer 39","South","West Bengal","Kolkata","47110","229","1","2000-06-28","2000-07-02","Debit Card"
"ORD-2000-01040","Office Chair","Electronics","Customer 40","East","Delhi","New Delhi","12600","2047","2","2000-05-28","2000-06-02","Debit Card"
"ORD-2000-01041","Monitor","Office Supplies","Customer 41","South","Karnataka","Bengaluru","45869","2010","1","2000-02-23","2000-02-25","Credit Card"
"ORD-2000-01042","Monitor","Office Supplies","Customer 42","South","Delhi","New Delhi","13374","3641","2","2000-04-16","2000-04-17","UPI"
"ORD-2000-01043","Mobile Phone","Office Supplies","Customer 43","East","Delhi","New Delhi","34210","4489","3","2000-04-08","2000-04-09","Credit Card"
"ORD-2000-01044","Desk","Electronics","Customer 44","East","Delhi","New Delhi","29700","3405","4","2000-01-07","2000-01-09","Cash"
"ORD-2000-01045","Printer","Technology","Customer 45","South","West Bengal","Kolkata","28071","266","3","2000-06-23","2000-06-28","UPI"
"ORD-2000-01046","Monitor","Office Supplies","Customer 46","North","Maharashtra","Mumbai","29289","5663","6","2000-01-28","2000-02-02","Credit Card"
"ORD-2000-01047","Tablet","Furniture","Customer 47","East","Maharashtra","Mumbai","32563","100","1","2000-03-07","2000-03-08","Debit Card"
"ORD-2000-01048","Desk","Technology","Customer 48","West","Delhi","New Delhi","55601","2190","4","2000-06-09","2000-06-12","Debit Card"
"ORD-2000-01049","Keyboard","Furniture","Customer 49","East","Maharashtra","Mumbai","15379","1905","6","2000-05-22","2000-05-24","UPI"
"ORD-2000-01050","Projector","Technology","Customer 50","West","Maharashtra","Mumbai","16777","3940","3","2000-03-19","2000-03-22","Credit Card"
"ORD-2000-01051","Printer","Technology","Customer 51","East","Tamil Nadu","Tamil Nadu","14348","3109","2","2000-05-11","2000-05-15","Debit Card"
"ORD-2000-01052","Laptop","Furniture","Customer 52","West","West Bengal","Kolkata","11087","174","2","2000-02-27","2000-02-29","Cash"
"ORD-2000-01053","Keyboard","Office Supplies","Customer 53","West","Karnataka","Bengaluru","14452","3552","1","2000-04-17","2000-04-22","UPI"
"ORD-2000-01054","Tablet","Office Supplies","Customer 54","North","West Bengal","Kolkata","15000","1811","2","2000-01-28","2000-02-01","UPI"
"ORD-2000-01055","Tablet","Technology","Customer 55","West","West Bengal","Kolkata","37296","10880","6","2000-04-27","2000-04-29","Cash"
"ORD-2000-01056","Mouse","Office Supplies","Customer 56","East","Gujarat","Ahmedabad","12223","2982","1","2000-05-21","2000-05-25","Debit Card"
"ORD-2000-01057","Desk","Office Supplies","Customer 57","North","Kerala","Kochi","46489","3935","3","2000-05-14","2000-05-18","Credit Card"
"ORD-2000-01058","Printer","Furniture","Customer 58","South","Karnataka","Bengaluru","24024","4560","5","2000-03-11","2000-03-14","Credit Card"
"ORD-2000-01059","Keyboard","Technology","Customer 59","West","Maharashtra","Mumbai","5954","942","1","2000-06-28","2000-06-30","Credit Card"
"ORD-2000-01060","Laptop","Office Supplies","Customer 60","West","Tamil Nadu","Tamil Nadu","42320","12306","3","2000-04-18","2000-04-22","Debit Card"
"ORD-2000-01061","Projector","Furniture","Customer 61","West","Karnataka","Bengaluru","41073","9926","4","2000-04-10","2000-04-14","Cash"
"ORD-2000-01062","Keyboard","Furniture","Customer 62","West","Karnataka","Bengaluru","30569","3171","4","2000-05-05","2000-05-06","Net Banking"
"ORD-2000-01063","Laptop","Electronics","Customer 63","West","Karnataka","Bengaluru","43846","10777","4","2000-01-07","2000-01-11","Credit Card"
"ORD-2000-01064","Mobile Phone","Office Supplies","Customer 64","East","Delhi","New Delhi","25615","3243","5","2000-01-13","2000-01-16","Debit Card"
"ORD-2000-01065","Laptop","Electronics","Customer 65","East","Karnataka","Bengaluru","7070","1231","1","2000-04-18","2000-04-21","UPI"
"ORD-2000-01066","Laptop","Furniture","Customer 66","South","Karnataka","Bengaluru","14424","4335","4","2000-01-08","2000-01-10","UPI"
"ORD-2000-01067","Monitor","Furniture","Customer 67","North","Gujarat","Ahmedabad","36442","4092","3","2000-05-25","2000-05-27","Debit Card"
"ORD-2000-01068","Projector","Office Supplies","Customer 68","West","Kerala","Kochi","2206","366","1","2000-01-28","2000-02-02","UPI"
"ORD-2000-01069","Projector","Electronics","Customer 69","North","Delhi","New Delhi","9076","1310","5","2000-06-01","2000-06-03","Cash"
"ORD-2000-01070","Monitor","Electronics","Customer 70","West","Gujarat","Ahmedabad","6346","1137","5","2000-06-19","2000-06-22","UPI"
"ORD-2000-01071","Office Chair","Office Supplies","Customer 71","South","Kerala","Kochi","46003","8152","4","2000-04-21","2000-04-24","Debit Card"
"ORD-2000-01072","Keyboard","Technology","Customer 72","East","Gujarat","Ahmedabad","40695","8457","2","2000-06-07","2000-06-12","UPI"
"ORD-2000-01073","Projector","Office Supplies","Customer 73","East","Tamil Nadu","Tamil Nadu","17544","4362","5","2000-03-13","2000-03-17","Debit Card"
"ORD-2000-01074","Desk","Technology","Customer 74","East","West Bengal","Kolkata","16498","3427","2","2000-02-16","2000-02-20","Net Banking"
"ORD-2000-01075","Mobile Phone","Office Supplies","Customer 75","West","West Bengal","Kolkata","13160","475","2","2000-01-03","2000-01-08","Cash"
"ORD-2000-01076","Printer","Technology","Customer 76","South","Maharashtra","Mumbai","37769","404","3","2000-06-15","2000-06-19","Debit Card"
"ORD-2000-01077","Tablet","Technology","Customer 77","West","Kerala","Kochi","31210","4881","4","2000-06-19","2000-06-24","Debit Card"
"ORD-2000-01078","Desk","Furniture","Customer 78","North","Kerala","Kochi","20959","2467","2","2000-04-01","2000-04-05","Debit Card"
"ORD-2000-01079","Mobile Phone","Office Supplies","Customer 79","East","Kerala","Kochi","12769","827","6","2000-01-28","2000-02-02","Net Banking"
"ORD-2000-01080","Desk","Furniture","Customer 80","East","Karnataka","Bengaluru","8539","861","2","2000-06-02","2000-06-05","UPI"
"ORD-2000-01081","Laptop","Technology","Customer 81","South","Kerala","Kochi","22813","442","4","2000-05-17","2000-05-19","UPI"
"ORD-2000-01082","Mouse","Office Supplies","Customer 82","East","Karnataka","Bengaluru","19339","4188","2","2000-01-04","2000-01-09","Debit Card"
"ORD-2000-01083","Mouse","Electronics","Customer 83","North","Karnataka","Bengaluru","5904","960","1","2000-05-03","2000-05-04","Net Banking"
"ORD-2000-01084","Tablet","Office Supplies","Customer 84","South","Gujarat","Ahmedabad","17845","1154","5","2000-03-19","2000-03-20","Cash"
"ORD-2000-01085","Keyboard","Technology","Customer 85","North","West Bengal","Kolkata","24084","5646","2","2000-04-26","2000-04-30","Credit Card"
"ORD-2000-01086","Office Chair","Furniture","Customer 86","South","West Bengal","Kolkata","21497","849","1","2000-06-10","2000-06-12","Credit Card"
"ORD-2000-01087","Desk","Electronics","Customer 87","South","Delhi","New Delhi","33506","9417","3","2000-01-01","2000-01-05","Cash"
"ORD-2000-01088","Projector","Furniture","Customer 88","West","Tamil Nadu","Tamil Nadu","18967","6427","6","2000-01-19","2000-01-21","Credit Card"
"ORD-2000-01089","Printer","Electronics","Customer 89","South","Gujarat","Ahmedabad","22642","1170","2","2000-06-15","2000-06-17","Net Banking"
"ORD-2000-01090","Mouse","Technology","Customer 90","West","Delhi","New Delhi","36152","2069","5","2000-05-26","2000-05-29","Net Banking"
"ORD-2000-01091","Laptop","Office Supplies","Customer 91","East","West Bengal","Kolkata","6454","1299","4","2000-05-07","2000-05-11","UPI"
"ORD-2000-01092","Projector","Electronics","Customer 92","East","West Bengal","Kolkata","49873","9921","1","2000-01-24","2000-01-26","Credit Card"
"ORD-2000-01093","Desk","Furniture","Customer 93","West","Kerala","Kochi","50819","7844","4","2000-05-01","2000-05-06","UPI"
"ORD-2000-01094","Monitor","Electronics","Customer 94","South","Delhi","New Delhi","33659","3067","5","2000-05-01","2000-05-04","Cash"
"ORD-2000-01095","Mouse","Electronics","Customer 95","East","Delhi","New Delhi","42959","736","2","2000-03-15","2000-03-19","UPI"
"ORD-2000-01096","Tablet","Office Supplies","Customer 96","West","Tamil Nadu","Tamil Nadu","1200","155","2","2000-04-14","2000-04-19","Net Banking"
"ORD-2000-01097","Laptop","Furniture","Customer 97","East","West Bengal","Kolkata","38084","8657","3","2000-04-03","2000-04-08","Debit Card"
"ORD-2000-01098","Projector","Furniture","Customer 98","South","Delhi","New Delhi","9711","204","4","2000-04-23","2000-04-27","UPI"
"ORD-2000-01099","Printer","Office Supplies","Customer 99","North","Kerala","Kochi","7390","634","2","2000-05-22","2000-05-26","Cash"
"ORD-2000-01100","Mouse","Office Supplies","Customer 100","South","Maharashtra","Mumbai","19606","3326","6","2000-03-16","2000-03-21","Credit Card"
"ORD-2000-01101","Office Chair","Electronics","Customer 101","East","Gujarat","Ahmedabad","47936","8303","3","2000-04-09","2000-04-11","Debit Card"
"ORD-2000-01102","Desk","Office Supplies","Customer 102","South","Maharashtra","Mumbai","1200","124","5","2000-05-10","2000-05-13","Cash"
"ORD-2000-01103","Keyboard","Office Supplies","Customer 103","East","Gujarat","Ahmedabad","39033","9376","3","2000-03-28","2000-03-31","Credit Card"
"ORD-2000-01104","Laptop","Technology","Customer 104","West","Kerala","Kochi","19516","3672","3","2000-05-27","2000-05-31","Cash"
"ORD-2000-01105","Office Chair","Technology","Customer 105","North","Gujarat","Ahmedabad","41675","724","4","2000-06-19","2000-06-21","UPI"
"ORD-2000-01106","Office Chair","Office Supplies","Customer 106","South","Tamil Nadu","Tamil Nadu","1683","475","5","2000-05-15","2000-05-19","Debit Card"
"ORD-2000-01107","Printer","Technology","Customer 107","West","Delhi","New Delhi","31204","6228","3","2000-03-28","2000-04-02","Net Banking"
"ORD-2000-01108","Desk","Furniture","Customer 108","North","Maharashtra","Mumbai","5300","630","1","2000-01-10","2000-01-15","UPI"
"ORD-2000-01109","Laptop","Technology","Customer 109","North","Delhi","New Delhi","24251","349","4","2000-04-24","2000-04-26","Debit Card"
"ORD-2000-01110","Keyboard","Furniture","Customer 110","South","Karnataka","Bengaluru","18949","5471","1","2000-04-21","2000-04-23","Net Banking"
"ORD-2000-01111","Projector","Furniture","Customer 111","South","Maharashtra","Mumbai","18696","3975","3","2000-04-08","2000-04-13","Cash"
"ORD-2000-01112","Tablet","Furniture","Customer 112","North","Maharashtra","Mumbai","34706","4721","4","2000-03-07","2000-03-08","Net Banking"
"ORD-2000-01113","Desk","Furniture","Customer 113","West","Gujarat","Ahmedabad","18915","3865","3","2000-03-18","2000-03-22","UPI"
"ORD-2000-01114","Projector","Technology","Customer 114","East","Tamil Nadu","Tamil Nadu","44641","6211","4","2000-03-02","2000-03-06","Debit Card"
"ORD-2000-01115","Desk","Furniture","Customer 115","East","Karnataka","Bengaluru","3949","1147","3","2000-01-03","2000-01-08","Net Banking"
"ORD-2000-01116","Laptop","Technology","Customer 116","West","Tamil Nadu","Tamil Nadu","48979","1811","4","2000-03-06","2000-03-08","Debit Card"
"ORD-2000-01117","Keyboard","Furniture","Customer 117","South","Karnataka","Bengaluru","21658","3084","5","2000-02-03","2000-02-04","Debit Card"
"ORD-2000-01118","Desk","Office Supplies","Customer 118","East","Kerala","Kochi","20530","1620","4","2000-05-16","2000-05-21","UPI"
"ORD-2000-01119","Keyboard","Technology","Customer 119","North","Gujarat","Ahmedabad","11718","1156","3","2000-04-28","2000-04-29","UPI"
"ORD-2000-01120","Monitor","Technology","Customer 120","West","Gujarat","Ahmedabad","10107","2324","3","2000-03-09","2000-03-14","UPI"
"ORD-2000-01121","Projector","Technology","Customer 121","South","Kerala","Kochi","39699","572","2","2000-06-22","2000-06-24","Cash"
"ORD-2000-01122","Printer","Furniture","Customer 122","North","Tamil Nadu","Tamil Nadu","51862","6491","2","2000-06-28","2000-07-01","Cash"
"ORD-2000-01123","Office Chair","Office Supplies","Customer 123","West","Delhi","New Delhi","16057","4414","5","2000-01-28","2000-01-29","Cash"
"ORD-2000-01124","Mouse","Office Supplies","Customer 124","East","Tamil Nadu","Tamil Nadu","30963","1704","4","2000-05-28","2000-05-30","Credit Card"
"ORD-2000-01125","Printer","Technology","Customer 125","East","Tamil Nadu","Tamil Nadu","19248","3164","3","2000-04-24","2000-04-28","Debit Card"
"ORD-2000-01126","Mobile Phone","Electronics","Customer 126","North","Gujarat","Ahmedabad","34713","1668","3","2000-02-18","2000-02-19","Credit Card"
"ORD-2000-01127","Tablet","Furniture","Customer 127","South","Gujarat","Ahmedabad","15226","675","3","2000-02-02","2000-02-07","Debit Card"
"ORD-2000-01128","Office Chair","Furniture","Customer 128","East","Gujarat","Ahmedabad","1200","136","1","2000-02-07","2000-02-12","UPI"
"ORD-2000-01129","Monitor","Furniture","Customer 129","East","Tamil Nadu","Tamil Nadu","11008","128","2","2000-06-19","2000-06-20","Debit Card"
"ORD-2000-01130","Printer","Office Supplies","Customer 130","West","Gujarat","Ahmedabad","28388","2270","4","2000-01-14","2000-01-16","Net Banking"
"ORD-2000-01131","Mobile Phone","Electronics","Customer 131","East","Maharashtra","Mumbai","38086","10092","1","2000-06-01","2000-06-02","UPI"
"ORD-2000-01132","Mouse","Office Supplies","Customer 132","North","Tamil Nadu","Tamil Nadu","31797","2261","3","2000-05-03","2000-05-07","Net Banking"
"ORD-2000-01133","Projector","Technology","Customer 133","West","West Bengal","Kolkata","10047","1133","6","2000-02-07","2000-02-08","Debit Card"
"ORD-2000-01134","Printer","Electronics","Customer 134","South","Maharashtra","Mumbai","48414","7036","3","2000-04-27","2000-05-02","Credit Card"
"ORD-2000-01135","Keyboard","Electronics","Customer 135","East","Maharashtra","Mumbai","36416","6709","3","2000-04-16","2000-04-19","Debit Card"
"ORD-2000-01136","Printer","Electronics","Customer 136","North","Maharashtra","Mumbai","38056","1204","2","2000-04-06","2000-04-08","Debit Card"
"ORD-2000-01137","Tablet","Technology","Customer 137","North","Maharashtra","Mumbai","5076","1345","2","2000-02-03","2000-02-08","Cash"
"ORD-2000-01138","Monitor","Electronics","Customer 138","South","Karnataka","Bengaluru","44469","5702","4","2000-01-14","2000-01-17","Credit Card"
"ORD-2000-01139","Printer","Technology","Customer 139","South","Gujarat","Ahmedabad","41241","6869","5","2000-01-28","2000-01-31","Net Banking"
"ORD-2000-01140","Tablet","Electronics","Customer 140","East","Tamil Nadu","Tamil Nadu","56562","12264","1","2000-06-09","2000-06-14","Debit Card"
"ORD-2000-01141","Laptop","Furniture","Customer 141","South","West Bengal","Kolkata","27432","3473","4","2000-06-28","2000-07-01","UPI"
"ORD-2000-01142","Tablet","Furniture","Customer 142","West","Maharashtra","Mumbai","7110","1918","5","2000-02-06","2000-02-07","Debit Card"
"ORD-2000-01143","Monitor","Electronics","Customer 143","North","Karnataka","Bengaluru","23970","7411","1","2000-02-10","2000-02-13","Net Banking"
"ORD-2000-01144","Keyboard","Office Supplies","Customer 144","West","Maharashtra","Mumbai","18528","3544","3","2000-01-13","2000-01-14","Credit Card"
"ORD-2000-01145","Printer","Technology","Customer 145","West","West Bengal","Kolkata","28547","3540","4","2000-05-12","2000-05-13","UPI"
"ORD-2000-01146","Laptop","Furniture","Customer 146","East","Karnataka","Bengaluru","43421","966","1","2000-02-26","2000-03-01","Debit Card"
"ORD-2000-01147","Mouse","Office Supplies","Customer 147","South","Karnataka","Bengaluru","8902","100","4","2000-03-16","2000-03-19","Net Banking"
"ORD-2000-01148","Monitor","Electronics","Customer 148","West","Gujarat","Ahmedabad","42084","9896","2","2000-06-28","2000-06-30","Cash"
"ORD-2000-01149","Projector","Office Supplies","Customer 149","West","Kerala","Kochi","5662","762","3","2000-01-05","2000-01-09","Debit Card"
"ORD-2000-01150","Monitor","Furniture","Customer 150","West","Gujarat","Ahmedabad","1985","616","3","2000-01-28","2000-02-01","UPI"
"ORD-2000-01151","Projector","Office Supplies","Customer 151","North","Maharashtra","Mumbai","17947","4195","4","2000-04-22","2000-04-23","Debit Card"
"ORD-2000-01152","Tablet","Electronics","Customer 152","South","Gujarat","Ahmedabad","13196","430","2","2000-02-26","2000-02-29","Debit Card"
"ORD-2000-01153","Office Chair","Technology","Customer 153","South","Karnataka","Bengaluru","20210","1084","5","2000-06-15","2000-06-17","Credit Card"
"ORD-2000-01154","Mouse","Office Supplies","Customer 154","West","Kerala","Kochi","13866","3998","6","2000-06-17","2000-06-18","Net Banking"
"ORD-2000-01155","Printer","Office Supplies","Customer 155","West","Kerala","Kochi","11063","1783","2","2000-03-24","2000-03-27","Debit Card"
"ORD-2000-01156","Printer","Technology","Customer 156","West","Maharashtra","Mumbai","29794","4169","1","2000-06-01","2000-06-02","UPI"
"ORD-2000-01157","Printer","Office Supplies","Customer 157","West","West Bengal","Kolkata","6033","1396","6","2000-04-05","2000-04-08","UPI"
"ORD-2000-01158","Monitor","Office Supplies","Customer 158","South","Tamil Nadu","Tamil Nadu","47166","3282","3","2000-04-26","2000-05-01","UPI"
"ORD-2000-01159","Laptop","Furniture","Customer 159","West","Maharashtra","Mumbai","37590","3093","5","2000-03-28","2000-03-29","Net Banking"
"ORD-2000-01160","Desk","Office Supplies","Customer 160","West","Gujarat","Ahmedabad","27881","3424","4","2000-06-06","2000-06-08","Net Banking"
"ORD-2000-01161","Printer","Office Supplies","Customer 161","East","Delhi","New Delhi","4871","820","4","2000-01-14","2000-01-17","Credit Card"
"ORD-2000-01162","Office Chair","Technology","Customer 162","East","Kerala","Kochi","45473","12661","4","2000-03-27","2000-03-28","Credit Card"
"ORD-2000-01163","Keyboard","Technology","Customer 163","South","Kerala","Kochi","26284","5495","6","2000-06-02","2000-06-03","UPI"
"ORD-2000-01164","Laptop","Technology","Customer 164","East","Karnataka","Bengaluru","42766","7264","1","2000-06-15","2000-06-19","Debit Card"
"ORD-2000-01165","Office Chair","Electronics","Customer 165","East","Gujarat","Ahmedabad","18948","1463","1","2000-05-05","2000-05-07","Net Banking"
"ORD-2000-01166","Monitor","Furniture","Customer 166","West","Karnataka","Bengaluru","3498","701","3","2000-05-19","2000-05-24","Credit Card"
"ORD-2000-01167","Mouse","Electronics","Customer 167","West","Delhi","New Delhi","14349","2977","1","2000-06-27","2000-07-02","Cash"
"ORD-2000-01168","Tablet","Furniture","Customer 168","East","Gujarat","Ahmedabad","36046","3958","4","2000-06-06","2000-06-09","Credit Card"
"ORD-2000-01169","Desk","Office Supplies","Customer 169","West","Karnataka","Bengaluru","32057","7973","3","2000-04-05","2000-04-10","Net Banking"
"ORD-2000-01170","Monitor","Electronics","Customer 170","North","Delhi","New Delhi","4490","1112","1","2000-02-05","2000-02-08","Credit Card"
"ORD-2000-01171","Keyboard","Electronics","Customer 171","South","Gujarat","Ahmedabad","40129","2718","4","2000-03-11","2000-03-15","Debit Card"
"ORD-2000-01172","Tablet","Technology","Customer 172","South","Maharashtra","Mumbai","4453","975","2","2000-01-07","2000-01-11","Debit Card"
"ORD-2000-01173","Monitor","Furniture","Customer 173","South","Tamil Nadu","Tamil Nadu","23344","999","2","2000-02-27","2000-02-28","Cash"
"ORD-2000-01174","Projector","Electronics","Customer 174","North","Tamil Nadu","Tamil Nadu","39503","8785","3","2000-06-28","2000-06-30","Credit Card"
"ORD-2000-01175","Keyboard","Electronics","Customer 175","East","Karnataka","Bengaluru","46288","10569","4","2000-02-08","2000-02-13","UPI"
"ORD-2000-01176","Printer","Electronics","Customer 176","West","West Bengal","Kolkata","31262","9372","4","2000-01-13","2000-01-15","UPI"
"ORD-2000-01177","Office Chair","Technology","Customer 177","West","Tamil Nadu","Tamil Nadu","48281","3866","5","2000-06-11","2000-06-16","Debit Card"
"ORD-2000-01178","Printer","Technology","Customer 178","North","West Bengal","Kolkata","32674","3091","6","2000-03-03","2000-03-08","Net Banking"
"ORD-2000-01179","Mouse","Electronics","Customer 179","West","Delhi","New Delhi","2263","254","2","2000-05-10","2000-05-15","UPI"
"ORD-2000-01180","Printer","Technology","Customer 180","South","Tamil Nadu","Tamil Nadu","27831","2121","3","2000-04-02","2000-04-03","Net Banking"
"ORD-2000-01181","Office Chair","Furniture","Customer 181","North","Kerala","Kochi","34660","8483","5","2000-03-28","2000-03-30","UPI"
"ORD-2000-01182","Mobile Phone","Electronics","Customer 182","East","Delhi","New Delhi","3961","949","4","2000-03-17","2000-03-19","Cash"
"ORD-2000-01183","Mobile Phone","Technology","Customer 183","East","Gujarat","Ahmedabad","21114","395","1","2000-05-20","2000-05-24","Debit Card"
"ORD-2000-01184","Keyboard","Office Supplies","Customer 184","West","Delhi","New Delhi","26205","4207","3","2000-03-11","2000-03-12","Cash"
"ORD-2000-01185","Tablet","Technology","Customer 185","North","Kerala","Kochi","31071","7813","3","2000-06-27","2000-07-01","UPI"
"ORD-2000-01186","Desk","Technology","Customer 186","North","Tamil Nadu","Tamil Nadu","14853","2776","3","2000-04-21","2000-04-26","Debit Card"
"ORD-2000-01187","Keyboard","Furniture","Customer 187","West","Delhi","New Delhi","44788","14680","5","2000-03-20","2000-03-24","UPI"
"ORD-2000-01188","Laptop","Electronics","Customer 188","West","Delhi","New Delhi","34950","4381","4","2000-04-01","2000-04-06","Credit Card"
"ORD-2000-01189","Mouse","Electronics","Customer 189","South","Tamil Nadu","Tamil Nadu","44993","11061","2","2000-01-08","2000-01-10","Debit Card"
"ORD-2000-01190","Projector","Furniture","Customer 190","West","Delhi","New Delhi","43257","592","4","2000-04-03","2000-04-07","Cash"
"ORD-2000-01191","Monitor","Office Supplies","Customer 191","East","Kerala","Kochi","9625","2323","2","2000-01-20","2000-01-25","Credit Card"
"ORD-2000-01192","Tablet","Office Supplies","Customer 192","North","Delhi","New Delhi","12828","2251","3","2000-01-28","2000-01-29","Cash"
"ORD-2000-01193","Mouse","Furniture","Customer 193","North","Karnataka","Bengaluru","20976","6327","2","2000-02-24","2000-02-29","Cash"
"ORD-2000-01194","Monitor","Technology","Customer 194","North","West Bengal","Kolkata","7164","1934","4","2000-02-14","2000-02-18","Debit Card"
"ORD-2000-01195","Monitor","Furniture","Customer 195","North","Karnataka","Bengaluru","47362","3364","2","2000-03-18","2000-03-20","Credit Card"
"ORD-2000-01196","Projector","Technology","Customer 196","West","Gujarat","Ahmedabad","29820","5447","6","2000-05-07","2000-05-08","Credit Card"
"ORD-2000-01197","Keyboard","Office Supplies","Customer 197","West","Gujarat","Ahmedabad","5506","830","3","2000-06-06","2000-06-07","Net Banking"
"ORD-2000-01198","Printer","Office Supplies","Customer 198","West","Kerala","Kochi","21504","6604","5","2000-01-19","2000-01-21","Debit Card"
